번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
3,14915,성문전자우,"7,720",-390,2016/09/20,2016/09/22,2016/10/07
2,14915,성문전자우,"7,720",-390,2016/09/09,2016/09/12,2016/09/22
1,93240,형지엘리트,"3,250",45,2016/04/20,2016/04/21,2016/05/10
8,7630,암니스,"1,225",00,2017/12/12,2017/12/13,2018/01/05
7,7460,나라케이아이씨,"2,000",0,2017/11/21,2017/11/22,2017/12/11
6,90970,코리아01호,-,-,2017/03/16,2017/03/17,2017/04/14
5,90980,코리아02호,-,-,2017/03/14,2017/03/15,2017/04/14
4,90990,코리아03호,-,-,2017/03/14,2017/03/15,2017/04/14
3,91000,코리아04호,-,-,2017/03/14,2017/03/15,2017/04/14
2,90970,코리아01호,-,-,2017/01/12,2017/01/13,2017/02/01
1,117930,한진해운,-,-,2017/01/12,2017/01/13,2017/02/01
5,11390,부산산업,"113,500",0,2018/05/31,2018/06/01,2018/06/20
4,12205,계양전기우,"7,430",-500,2018/05/18,2018/05/21,2018/06/07
3,725,현대건설우,"173,000",-500,2018/05/08,2018/05/09,2018/05/30
2,74610,나노메딕스,"3,490",30,2018/01/18,2018/01/19,2018/02/06
1,7630,암니스,"1,225",0,2017/12/12,2017/12/13,2018/01/05
3,33637L,두산솔루스2우B,"32,000","-2,050",2019/10/30,2019/10/31,2019/11/18
2,000145,하이트진로홀딩스우,"14,700",150,2019/08/05,2019/08/06,2019/08/22
1,014915,성문전자우,"7,720",-390,2019/01/25,2019/01/28,2019/02/15
11,033270,유나이티드제약,"61,100","-6,500",2020/09/04,2020/09/07,2020/09/22
10,005257,녹십자홀딩스2우,"120,500","-7,000",2020/08/06,2020/08/10,2020/08/26
9,28513K,SK케미칼우,"172,000","-3,000",2020/07/27,2020/07/28,2020/08/18
8,005257,녹십자홀딩스2우,"120,500","-7,000",2020/07/23,2020/07/24,2020/08/10
7,019170,신풍제약,"131,500",0,2020/07/22,2020/07/23,2020/08/07
6,007575,일양약품우,"71,400","-1,500",2020/07/21,2020/07/22,2020/08/06
5,001745,SK네트웍스우,"109,500","3,500",2020/06/30,2020/07/01,2020/07/16
4,007575,일양약품우,"71,400","-1,500",2020/06/18,2020/06/19,2020/07/06
3,010145,삼성중공우,"339,500","-4,500",2020/06/17,2020/06/19,2020/07/03
2,010145,삼성중공우,"339,500","-4,500",2020/06/11,2020/06/12,2020/06/19
1,019170,신풍제약,"131,500",0,2020/04/08,2020/04/09,2020/04/27
7,23430,아이이,-,-,2016/07/26,2016/07/27,2016/08/11
6,204840,IBKS제2호스팩,"1,355",0,2016/07/08,2016/07/12,2016/07/26
5,204840,IBKS제2호스팩,"1,355",0,2016/07/04,2016/07/05,2016/07/12
4,57880,토필드,"2,015",-25,2016/06/21,2016/06/23,2016/07/08
3,57880,토필드,"2,015",-25,2016/06/15,2016/06/17,2016/06/23
2,57880,토필드,"2,015",-25,2016/06/09,2016/06/10,2016/06/17
1,49180,셀루메드,"5,980",00,2016/06/08,2016/06/09,2016/06/24
4,36120,SCI평가정보,"4,265",-35,2017/12/15,2017/12/18,2018/01/05
3,900100,뉴프라이드,717,0,2017/12/15,2017/12/18,2018/01/05
2,41190,우리기술투자,"4,680",-165,2017/09/20,2017/09/21,2017/10/19
1,44180,KD건설,"1,270",-70,2017/02/14,2017/02/15,2017/03/03
10,66430,와이오엠,"1,660",0,2018/07/05,2018/07/09,2018/07/23
9,66430,와이오엠,"1,660",0,2018/06/19,2018/06/21,2018/07/09
8,66430,와이오엠,"1,660",0,2018/06/08,2018/06/11,2018/06/21
7,32820,우리기술,"1,320",20,2018/05/03,2018/05/04,2018/05/23
6,127160,매직마이크로,324,-19,2018/04/12,2018/04/13,2018/05/02
5,224060,코디엠,450,-14,2018/04/12,2018/04/13,2018/04/30
4,131100,리켐,"1,955",-25,2018/02/22,2018/02/23,2018/03/13
3,41190,우리기술투자,"4,680",-165,2018/01/05,2018/01/08,2018/01/26
2,36120,SCI평가정보,"4,265",-35,2017/12/15,2017/12/18,2018/01/05
1,900100,뉴프라이드,717,0,2017/12/15,2017/12/18,2018/01/05
9,88290,이원컴포텍,"6,350",-150,2019/11/28,2019/11/29,2019/12/17
8,67630,에이치엘비생명과학,"26,450",150,2019/10/21,2019/10/22,2019/11/08
7,23770,플레이위드,"9,010",-20,2019/07/09,2019/07/10,2019/07/29
6,263540,샘코,"2,015",0,2019/06/20,2019/06/24,2019/07/08
5,263540,샘코,"2,015",0,2019/06/13,2019/06/17,2019/06/24
4,263540,샘코,"2,015",0,2019/06/07,2019/06/10,2019/06/17
3,78130,국일제지,"5,000",-40,2019/05/09,2019/05/10,2019/05/28
2,33110,코너스톤네트웍스,204,0,2019/05/07,2019/05/09,2019/05/23
1,33110,이디,204,0,2019/04/17,2019/04/18,2019/05/09
18,195990,에이비프로바이오,"1,665",-125,2020/11/24,2020/11/25,2020/12/10
17,323990,박셀바이오,"229,700","-39,800",2020/11/17,2020/11/18,2020/12/04
16,114450,KPX생명과학,"11,500",-650,2020/11/11,2020/11/12,2020/11/27
15,42040,케이피엠테크,"3,020",-95,2020/09/22,2020/09/23,2020/10/16
14,57880,필로시스헬스케어,"1,970",-25,2020/09/07,2020/09/08,2020/09/23
13,950130,엑세스바이오,"20,350",0,2020/08/19,2020/08/21,2020/09/04
12,65500,오리엔트정공,"1,135",-35,2020/08/13,2020/08/14,2020/09/01
11,950130,엑세스바이오,"20,350",0,2020/08/12,2020/08/14,2020/08/21
10,206650,유바이오로직스,"22,200","-1,800",2020/08/06,2020/08/07,2020/08/25
9,950130,엑세스바이오,"20,350",0,2020/08/06,2020/08/07,2020/08/14
8,353810,이지바이오,"10,350","2,290",2020/06/24,2020/06/25,2020/07/10
7,64510,에코마이스터,"1,645",-40,2020/04/24,2020/04/27,2020/05/15
6,58110,멕아이씨에스,"37,400","2,050",2020/04/10,2020/04/14,2020/04/29
5,109820,진매트릭스,"20,250","-2,150",2020/03/30,2020/03/31,2020/04/16
4,58110,멕아이씨에스,"37,400","2,050",2020/03/30,2020/03/31,2020/04/14
3,253840,수젠텍,"18,500",-950,2020/03/27,2020/03/30,2020/04/14
2,84650,랩지노믹스,"17,200",-900,2020/03/26,2020/03/27,2020/04/13
1,65620,제낙스,"15,950",00,2020/01/22,2020/01/23,2020/02/11
