번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
44,2900,동양물산,"1,515",-5,2016/12/28,2016/12/29,2017/01/13
43,7280,한국특수형강,"1,935",10,2016/12/20,2016/12/21,2017/01/06
42,25820,이구산업,"1,870",0,2016/12/07,2016/12/08,2016/12/22
41,547,흥국화재2우B,"20,450",-350,2016/11/24,2016/11/25,2016/12/09
40,155660,DSR,"6,530",-60,2016/11/14,2016/11/15,2016/11/30
39,14285,금강공업우,"10,400",-250,2016/11/02,2016/11/03,2016/11/22
38,69730,DSR제강,"4,925",145,2016/11/02,2016/11/03,2016/11/18
37,2140,고려산업,"4,115",35,2016/11/01,2016/11/02,2016/11/18
36,14915,성문전자우,"7,720",-390,2016/10/06,2016/10/07,2016/10/21
35,23960,에쓰씨엔지니어링,"5,330",455,2016/09/26,2016/09/27,2016/10/12
34,6345,대원전선우,"2,450",0,2016/09/22,2016/09/23,2016/10/10
33,5030,부산주공,738,24,2016/09/21,2016/09/22,2016/10/07
32,9415,태영건설우,"12,900",100,2016/09/19,2016/09/20,2016/10/11
31,9810,고려포리머,550,-10,2016/09/19,2016/09/20,2016/10/05
30,3280,흥아해운,258,00,2016/09/07,2016/09/08,2016/09/27
29,14915,성문전자우,"7,720",-390,2016/08/30,2016/08/31,2016/09/12
28,71970,STX중공업,"3,850",60,2016/07/12,2016/07/13,2016/08/04
27,8870,금비,"61,300","1,400",2016/07/12,2016/07/13,2016/07/28
26,1570,금양,"6,090",-350,2016/07/07,2016/07/08,2016/07/22
25,25620,SWH,"2,440",20,2016/06/17,2016/06/20,2016/07/06
24,7630,지에스인스트루,"1,225",00,2016/06/16,2016/06/17,2016/07/12
23,11810,STX,"5,830",40,2016/06/07,2016/06/08,2016/06/22
22,71970,STX중공업,"3,850",60,2016/06/02,2016/06/03,2016/06/20
21,11200,현대상선,"12,850",-200,2016/06/02,2016/06/03,2016/06/20
20,12280,영화금속,"2,155",-35,2016/05/27,2016/05/30,2016/06/14
19,3520,영진약품,"7,960",-320,2016/05/24,2016/05/25,2016/06/09
18,5980,성지건설,-,-,2016/05/20,2016/05/23,2016/06/07
17,21050,서원,"2,710",-30,2016/05/18,2016/05/19,2016/06/02
16,14910,성문전자,"1,830",15,2016/05/18,2016/05/19,2016/06/02
15,102280,쌍방울,620,-3,2016/05/18,2016/05/19,2016/06/02
14,6390,현대시멘트,"28,900",900,2016/05/13,2016/05/16,2016/05/30
13,93240,형지엘리트,"3,250",45,2016/05/09,2016/05/10,2016/05/24
12,5980,성지건설,-,-,2016/04/22,2016/04/25,2016/05/16
11,93240,형지엘리트,"3,250",45,2016/04/08,2016/04/11,2016/04/21
10,7197,한솔아트원제지2우B,-,-,2016/04/01,2016/04/04,2016/04/19
9,3580,동원,"5,320",10,2016/03/17,2016/03/18,2016/04/01
8,17180,명문제약,"7,460",-510,2016/02/03,2016/02/04,2016/02/23
7,8040,동아원,942,9,2016/01/19,2016/01/20,2016/02/03
6,7197,한솔아트원제지2우B,-,-,2016/01/18,2016/01/19,2016/02/02
5,5965,동부건설우,"22,900",-300,2016/01/13,2016/01/14,2016/01/28
4,19490,하이트론,"4,575",155,2016/01/08,2016/01/11,2016/01/25
3,9460,한창제지,"2,530",25,2015/12/29,2015/12/30,2016/01/15
2,4770,써니전자,"4,710",80,2015/12/21,2015/12/22,2016/01/12
1,21050,서원,"2,710",-30,2015/12/14,2015/12/15,2016/01/06
39,134790,팀스,"56,100",-600,2017/12/18,2017/12/19,2018/01/10
