Symbol,Market,Name
95570,KOSPI,AJ네트웍스
6840,KOSPI,AK홀딩스
27410,KOSPI,BGF
282330,KOSPI,BGF리테일
138930,KOSPI,BNK금융지주
1460,KOSPI,BYC
1465,KOSPI,BYC우
1040,KOSPI,CJ
79160,KOSPI,CJ CGV
00104K,KOSPI,CJ4우(전환)
120,KOSPI,CJ대한통운
11150,KOSPI,CJ씨푸드
11155,KOSPI,CJ씨푸드1우
1045,KOSPI,CJ우
97950,KOSPI,CJ제일제당
97955,KOSPI,CJ제일제당 우
590,KOSPI,CS홀딩스
12030,KOSPI,DB
16610,KOSPI,DB금융투자
5830,KOSPI,DB손해보험
990,KOSPI,DB하이텍
995,KOSPI,DB하이텍1우
139130,KOSPI,DGB금융지주
1530,KOSPI,DI동일
4840,KOSPI,DRB동일
155660,KOSPI,DSR
69730,KOSPI,DSR제강
17940,KOSPI,E1
365550,KOSPI,ESR켄달스퀘어리츠
7700,KOSPI,F&F
114090,KOSPI,GKL
78930,KOSPI,GS
6360,KOSPI,GS건설
1250,KOSPI,GS글로벌
7070,KOSPI,GS리테일
78935,KOSPI,GS우
12630,KOSPI,HDC
39570,KOSPI,HDC아이콘트롤스
89470,KOSPI,HDC현대EP
294870,KOSPI,HDC현대산업개발
11200,KOSPI,HMM
82740,KOSPI,HSD엔진
3560,KOSPI,IHQ
175330,KOSPI,JB금융지주
234080,KOSPI,JW생명과학
1060,KOSPI,JW중외제약
1067,KOSPI,JW중외제약2우B
1065,KOSPI,JW중외제약우
96760,KOSPI,JW홀딩스
2380,KOSPI,KCC
9070,KOSPI,KCTC
9440,KOSPI,KC그린홀딩스
119650,KOSPI,KC코트렐
92220,KOSPI,KEC
16380,KOSPI,KG동부제철
16385,KOSPI,KG동부제철우
1390,KOSPI,KG케미칼
25000,KOSPI,KPX케미칼
92230,KOSPI,KPX홀딩스
40,KOSPI,KR모터스
44450,KOSPI,KSS해운
30200,KOSPI,KT
33780,KOSPI,KT&G
30210,KOSPI,KTB투자증권
58850,KOSPI,KTcs
58860,KOSPI,KTis
93050,KOSPI,LF
3550,KOSPI,LG
34220,KOSPI,LG디스플레이
1120,KOSPI,LG상사
51900,KOSPI,LG생활건강
51905,KOSPI,LG생활건강우
3555,KOSPI,LG우
32640,KOSPI,LG유플러스
11070,KOSPI,LG이노텍
66570,KOSPI,LG전자
66575,KOSPI,LG전자우
108670,KOSPI,LG하우시스
108675,KOSPI,LG하우시스우
37560,KOSPI,LG헬로비전
51910,KOSPI,LG화학
51915,KOSPI,LG화학우
79550,KOSPI,LIG넥스원
6260,KOSPI,LS
10120,KOSPI,LS ELECTRIC
680,KOSPI,LS네트웍스
229640,KOSPI,LS전선아시아
23150,KOSPI,MH에탄올
35420,KOSPI,NAVER
181710,KOSPI,NHN
5940,KOSPI,NH투자증권
5945,KOSPI,NH투자증권우
338100,KOSPI,NH프라임리츠
34310,KOSPI,NICE
8260,KOSPI,NI스틸
4250,KOSPI,NPC
4255,KOSPI,NPC우
10060,KOSPI,OCI
5490,KOSPI,POSCO
100840,KOSPI,S&TC
64960,KOSPI,S&T모티브
3570,KOSPI,S&T중공업
36530,KOSPI,S&T홀딩스
10950,KOSPI,S-Oil
10955,KOSPI,S-Oil우
34120,KOSPI,SBS
101060,KOSPI,SBS미디어홀딩스
5090,KOSPI,SGC에너지
4060,KOSPI,SG세계물산
1380,KOSPI,SG충방
2360,KOSPI,SH에너지화학
9160,KOSPI,SIMPAC
123700,KOSPI,SJM
25530,KOSPI,SJM홀딩스
34730,KOSPI,SK
11790,KOSPI,SKC
18670,KOSPI,SK가스
1740,KOSPI,SK네트웍스
1745,KOSPI,SK네트웍스우
6120,KOSPI,SK디스커버리
6125,KOSPI,SK디스커버리우
210980,KOSPI,SK디앤디
68400,KOSPI,SK렌터카
326030,KOSPI,SK바이오팜
03473K,KOSPI,SK우
96770,KOSPI,SK이노베이션
96775,KOSPI,SK이노베이션우
1510,KOSPI,SK증권
1515,KOSPI,SK증권우
285130,KOSPI,SK케미칼
28513K,KOSPI,SK케미칼우
17670,KOSPI,SK텔레콤
660,KOSPI,SK하이닉스
5610,KOSPI,SPC삼립
11810,KOSPI,STX
77970,KOSPI,STX엔진
71970,KOSPI,STX중공업
84870,KOSPI,TBH글로벌
2710,KOSPI,TCC스틸
24070,KOSPI,WISCOM
37270,KOSPI,YG PLUS
500,KOSPI,가온전선
860,KOSPI,강남제비스코
35250,KOSPI,강원랜드
11420,KOSPI,갤럭시아에스엠
2100,KOSPI,경농
9450,KOSPI,경동나비엔
267290,KOSPI,경동도시가스
12320,KOSPI,경동인베스트
50,KOSPI,경방
214390,KOSPI,경보제약
12610,KOSPI,경인양행
9140,KOSPI,경인전자
13580,KOSPI,계룡건설
12200,KOSPI,계양전기
12205,KOSPI,계양전기우
2140,KOSPI,고려산업
10130,KOSPI,고려아연
2240,KOSPI,고려제강
9290,KOSPI,광동제약
